Gender,Gender(third person),Race,Color,Hair Color,Hair Length,Hair Style,Hair Style Fixed Length,Top,Bottom,Shoes,Accessory,Accessory Action,Extra sentences F,Extra sentences B
boy,He,African American,,caramel,buzz cut,updos,Bob,,,,,,The location is near the Royal Adelaide Hospital.,The person appears drug-affected.
girl,She,American Indian,,burgundy,ear length,messy,Pixie,,,,,,There is a car crash.,The situation is very dangerous.
kid,The kid,Other Pacific Islander,,highlights,chin length,vintage,Shag,,,,,,A large fight happens outside McDonald's Hindley Street.,"The address is at 49 Robbies Rd, Cockle Bay."
child,The child,cauc,,balayage,shoulder length,braided,Bangs,,,,,,There is an emergency.,The person has been stabbed in the stomach. 
,,,,ombre,armpit length,ponytails,Layered,,,,,,"The address is at 23 Allan Street, Blacktown.",The person has mental illness.
,,,,,mid-back length,,Mohawk,,,,,,"Someone is yelling 'I'm going to stab you', follows by crashing/banging.",Evacute the area now.
,,,,,tailbone length,,,,,,,,"Warning, emergency, evacuate now.",The House's choice to use the Justice Department may be more of a warning shot than a solution.
,,,,,,,,,,,,,As severe as a criminal contempt referral sounds,The officers responded by firing several bullets into the apartment.
,,,,,,,,,,,,,The walker fired a warning shot as the officers breached the front door with a battering ram.,"After the site was blocked, the false alarms regarding police seemed like a warning shot leave or face arrest and charges of high treason."
,,,,,,,,,,,,,At least two different calls had warned of a coming police raid at TV Rain.,"The criminal must be taken in the act, e.g."
,,,,,,,,,,,,,The full video shows at least one soldier firing a warning shot into the air.,"The senate, as supreme court of cassation, has two departments, one for civil and one for criminal cases."
,,,,,,,,,,,,,"Arthur, chief of the Brotherhood, a party, and called Rule 1 2, forbidding engineers to haul the freight, criminal.","The subject matter over which the ecclesiastical courts had jurisdiction was no longer purely "" criminal "" with a civil quasijurisdiction by way of arbitration."
,,,,,,,,,,,,,Justice is administered from a written civil and criminal code.,It was probably the lex Valeria of 300 B.C. that made him subject to the right of criminal appeal (provocatio) within the limits of the city.
,,,,,,,,,,,,,The penalty for false witness was usually that which would have been awarded the convicted criminal.,NA
,,,,,,,,,,,,,NA,The truth is that you pay for your lifestyle in hours.
,,,,,,,,,,,,,The guy kept telling himself that one day it would all somehow make sense.,This is the last random sentence I will be writing and I am going to stop mid-sent
,,,,,,,,,,,,,"In that instant, everything changed.",The pigs were insulted that they were named hamburgers.
,,,,,,,,,,,,,Garlic ice-cream was her favorite.,The teenage boy was accused of breaking his arm simply to get out of the test.
,,,,,,,,,,,,,The sun had set and so had his dreams.,Today is the day I'll finally know what brick tastes like.
,,,,,,,,,,,,,"Peanuts don't grow on trees, but cashews do.",The woman lived on Monkey Jungle Road and that seemed to explain all of her strangeness.
,,,,,,,,,,,,,The bees decided to have a mutiny against their queen.,Normal activities took extraordinary amounts of concentration at the high altitude.
,,,,,,,,,,,,,A kangaroo is really just a rabbit on steroids.,"The woman is never happy until she finds something to be unhappy about; then, she is overjoyed."
,,,,,,,,,,,,,Siri became confused when we reused to follow her directions.,The fact that there's a stairway to heaven and a highway to hell explains life well.
,,,,,,,,,,,,,The lady wore green lipstick like a fashion icon.,It had been sixteen days since the zombies first attacked.
,,,,,,,,,,,,,Flesh-colored yoga pants were far worse than even the guy feared.,There are few things better in life than a slice of pie.
,,,,,,,,,,,,,The guy put heat on the wound to see what would grow.,You bite up because of your lower jaw.
,,,,,,,,,,,,,Weather is not trivial - it's especially important when you're standing in it.,Pair your designer cowboy hat with scuba gear for a memorable occasion.
,,,,,,,,,,,,,"I come from a tribe of head-hunters, so I will never need a shrink.",The woman cried diamonds.
,,,,,,,,,,,,,The tortoise jumped into the lake with dreams of becoming a sea turtle.,"In hopes of finding out the truth, he entered the one-room library."
,,,,,,,,,,,,,"I would have gotten the promotion, but my attendance wasn’t good enough.",There is no better feeling than staring at a wall with closed eyes.
,,,,,,,,,,,,,The ants enjoyed the barbecue more than the family.,"They called out her name time and again, but were met with nothing but silence."
,,,,,,,,,,,,,"The guy used to get confused between soldiers and shoulders, but as a military man, the guy now soldiers responsibility.",The man swore he just saw his sushi move.
,,,,,,,,,,,,,The guy picked up trash in his spare time to dump in his neighbor's yard.,"The woman learned that water bottles are no longer just to hold liquid, but they're also status symbols."
,,,,,,,,,,,,,"I am counting my calories, yet I really want dessert.",Situps are a terrible way to end your day.
,,,,,,,,,,,,,"One small action would change her life, but whether it would be for better or for worse was yet to be determined.","David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it."
,,,,,,,,,,,,,His son quipped that power bars were nothing more than adult candy bars.,"Greetings from the galaxy MACS0647-JD, or what we call home."
,,,,,,,,,,,,,"When transplanting seedlings, candied teapots will make the task easier.",The man decided water-skiing on a frozen lake wasn’t a good idea.
,,,,,,,,,,,,,People who insist on picking their teeth with their elbows are so annoying!,The furnace repairman indicated the heating system was acting as an air conditioner.
,,,,,,,,,,,,,The teenage boy was accused of breaking his arm simply to get out of the test.,Boulders lined the side of the road foretelling what could come next.
,,,,,,,,,,,,,Lucifer was surprised at the amount of life at Death Valley.,The near-death experience brought new ideas to light.
,,,,,,,,,,,,,Courage and stupidity were all the guy had.,Blue sounded too cold at the time and yet it seemed to work for gin.
,,,,,,,,,,,,,"The lady is never happy until she finds something to be unhappy about; then, she is overjoyed.",Having no hair made him look even hairier.
,,,,,,,,,,,,,The guy was the type of guy who liked Christmas lights on his house in the middle of July.,Lets all be unique together until we realise we are all the same.
,,,,,,,,,,,,,"Sometimes, all you need to do is completely make an ass of yourself and laugh it off to realise that life isn’t so bad after all.",Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.
,,,,,,,,,,,,,They ran around the corner to find that they had traveled back in time.,With the high wind warning
,,,,,,,,,,,,,Rock music approaches at high velocity.,Tuesdays are free if you bring a gnome costume.
,,,,,,,,,,,,,There's no reason a hula hoop can't also be a circus ring.,The woman wore green lipstick like a fashion icon.
,,,,,,,,,,,,,A good example of a useful vegetable is medicinal rhubarb.,Dolores wouldn't have eaten the meal if she had known what it actually was.
,,,,,,,,,,,,,The guy colored deep space a soft yellow.,The anaconda was the greatest criminal mastermind in this part of the neighborhood.
,,,,,,,,,,,,,The guy always wore his sunglasses at night.,"Although it wasn't a pot of gold, Nancy was still enthralled at what she found at the end of the rainbow."
,,,,,,,,,,,,,"The lady was sad to hear that fireflies are facing extinction due to artificial light, habitat loss, and pesticides.",The man was all business when he wore his clown suit.
,,,,,,,,,,,,,Instead of a bachelorette party,"As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled."
,,,,,,,,,,,,,The clock within this blog and the clock on my laptop are 1 hour different from each other.,Jerry liked to look at paintings while eating garlic ice cream.
,,,,,,,,,,,,,The chic gangster liked to start the day with a pink scarf.,"For oil spots on the floor, nothing beats parking a motorbike in the lounge."
,,,,,,,,,,,,,Too many prisons have become early coffins.,The manager of the fruit stand always sat and only sold vegetables.
,,,,,,,,,,,,,His thought process was on so many levels that the guy gave himself a phobia of heights.,My dentist tells me that chewing bricks is very bad for your teeth.
,,,,,,,,,,,,,"Before the guy moved to the inner city, the guy had always believed that security complexes were psychological.",The fifty mannequin heads floating in the pool kind of freaked them out.
,,,,,,,,,,,,,Jenny made the announcement that her baby was an alien.,The man dreamed of leaving his law firm to open a portable dog wash.
,,,,,,,,,,,,,"The guy said the guy was not there yesterday; however, many people saw him there.",David proudly graduated from high school top of his class at age 97.
,,,,,,,,,,,,,"Tomorrow will bring something new, so leave today as a memory.",The man strives to keep the best lawn in the neighborhood.
,,,,,,,,,,,,,"Going from child, to childish, to childlike is only a matter of time.",The man liked to play with words in the bathtub.
,,,,,,,,,,,,,"If you really strain your ears, you can just about hear the sound of no one giving a damn.","Italy is my favorite country; in fact, I plan to spend two weeks there next year."
,,,,,,,,,,,,,Today arrived with a crash of my car through the garage door.,Jeanne wished she has chosen the red button.
,,,,,,,,,,,,,Their daily goal was to improve on yesterday.,Dan ate the clouds like cotton candy.
,,,,,,,,,,,,,Barking dogs and screaming toddlers have the unique ability to turn friendly neighbors into cranky enemies.,I trust everything that's written in purple ink.
,,,,,,,,,,,,,"Everyone was busy, so I went to the movie alone.",They wandered into a strange Tiki bar on the edge of the small beach town.
,,,,,,,,,,,,,The woman lived on Monkey Jungle Road and that seemed to explain all of her strangeness.,The lady wondered what his eyes were saying beneath his mirrored sunglasses.
,,,,,,,,,,,,,My secretary is the only person who truly understands my stamp-collecting obsession.,Random words in front of other random words create a random sentence.
,,,,,,,,,,,,,Weather is not trivial - it's especially important when you're standing in it.,The guy had a vague sense that trees gave birth to dinosaurs.
,,,,,,,,,,,,,Trash covered the landscape like sprinkles do a birthday cake.,There's no reason a hula hoop can't also be a circus ring.
,,,,,,,,,,,,,The water flowing down the river didn’t look that powerful from the car,The random sentence generator generated a random sentence about a random sentence.
,,,,,,,,,,,,,The man had accidentally hacked into his company's server.,The guy decided to count all the sand on the beach as a hobby.
,,,,,,,,,,,,,The book is in front of the table.,Behind the window was a reflection that only instilled fear.
,,,,,,,,,,,,,"The woman is never happy until she finds something to be unhappy about; then, she is overjoyed.","Although it wasn't a pot of gold, Nancy was still enthralled at what she found at the end of the rainbow."
,,,,,,,,,,,,,"All she wanted was the answer, but she had no idea how much she would hate it.",The lyrics of the song sounded like fingernails on a chalkboard.
,,,,,,,,,,,,,The team members were hard to tell apart since they all wore their hair in a ponytail.,The guy found his art never progressed when he literally used his sweat and tears.
,,,,,,,,,,,,,It didn't make sense unless you had the power to eat colors.,"One small action would change her life, but whether it would be for better or for worse was yet to be determined."
,,,,,,,,,,,,,Barking dogs and screaming toddlers have the unique ability to turn friendly neighbors into cranky enemies.,Beach-combing replaced wine tasting as his new obsession.
,,,,,,,,,,,,,The man is no James Bond; his name is Roger Moore.,The guy decided water-skiing on a frozen lake wasn’t a good idea.
,,,,,,,,,,,,,The sun had set and so had his dreams.,That is an appealing treasure map that I can't read.
,,,,,,,,,,,,,The Guinea fowl flies through the air with all the grace of a turtle.,The lady did a happy dance because all of the socks from the dryer matched.
,,,,,,,,,,,,,The elderly neighborhood became enraged over the coyotes who had been blamed for the poodle’s disappearance.,Lucifer was surprised at the amount of life at Death Valley.
,,,,,,,,,,,,,Traveling became almost extinct during the pandemic.,Pantyhose and heels are an interesting choice of attire for the beach.
,,,,,,,,,,,,,We will not allow you to bring your pet armadillo along.,"Had he known what was going to happen, he would have never stepped into the shower."
,,,,,,,,,,,,,I never knew what hardship looked like until it started raining bowling balls.,The guy ended up burning his fingers poking someone else's fire.
,,,,,,,,,,,,,"The busker hoped that the people passing by would throw money, but they threw tomatoes instead, so he exchanged his hat for a juicer.","As you consider all the possible ways to improve yourself and the world, you notice John Travolta seems fairly unhappy."
,,,,,,,,,,,,,I'd always thought lightning was something only I could see.,The guy looked behind the door and didn't like what he saw.
,,,,,,,,,,,,,Sarah ran from the serial killer holding a jug of milk.,The guy knew it was going to be a bad day when he saw mountain lions roaming the streets.
,,,,,,,,,,,,,Writing a list of random sentences is harder than I initially thought it would be.,Chocolate covered crickets were his favorite snack.
,,,,,,,,,,,,,"There was no ice cream in the freezer, nor did they have money to go to the store.","Hang on, my kittens are scratching at the bathtub and they'll upset by the lack of biscuits."
,,,,,,,,,,,,,The man was sure the Devil created red sparkly glitter.,The wooden spoon couldn’t cut but left emotional scars.
,,,,,,,,,,,,,When confronted with a rotary dial phone the teenager was perplexed.,"When money was tight, he'd get his lunch money from the local wishing well."
,,,,,,,,,,,,,Douglas figured the best way to succeed was to do the opposite of what he'd been doing all his life.,Today arrived with a crash of my car through the garage door.
,,,,,,,,,,,,,The external scars tell only part of the story.,Eating eggs on Thursday for choir practice was recommended.
,,,,,,,,,,,,,"Of course, she loves her pink bunny slippers.",The view from the lighthouse excited even the most seasoned traveler.
,,,,,,,,,,,,,Flying fish flew by the space station.,Sarah ran from the serial killer holding a jug of milk.
,,,,,,,,,,,,,I like to leave work after my eight-hour tea-break.,Shingle color was not something the couple had ever talked about.
,,,,,,,,,,,,,Today we gathered moss for my uncle's wedding.,Garlic ice-cream was her favorite.
,,,,,,,,,,,,,Warm beer on a cold day isn't my idea of fun.,The small white buoys marked the location of hundreds of crab pots.
,,,,,,,,,,,,,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.,Please put on these earmuffs because I can't you hear.
,,,,,,,,,,,,,Happiness can be found in the depths of chocolate pudding.,It was at that moment that he learned there are certain parts of the body that you should never Nair.
,,,,,,,,,,,,,The man spiked his hair green to support his iguana.,"As he looked out the window, he saw a clown walk by."
,,,,,,,,,,,,,"When he asked her favorite number, she answered without hesitation that it was diamonds.",I checked to make sure that he was still alive.
,,,,,,,,,,,,,The man waited for the stop sign to turn to a go sign.,The guy had accidentally hacked into his company's server.
,,,,,,,,,,,,,Each person who knows you has a different perception of who you are.,Trash covered the landscape like sprinkles do a birthday cake.
,,,,,,,,,,,,,I'm worried by the fact that my daughter looks to the local carpet seller as a role model.,The lady lived on Monkey Jungle Road and that seemed to explain all of her strangeness.
,,,,,,,,,,,,,Nancy was proud that she ran a tight shipwreck.,The sight of his goatee made me want to run and hide under my sister-in-law's bed.
,,,,,,,,,,,,,"The woman wanted to be rescued, but only if it was Tuesday and raining.",Joe made the sugar cookies; Susan decorated them.
,,,,,,,,,,,,,My uncle's favorite pastime was building cars out of noodles.,The lady had convinced her kids that any mushroom found on the ground would kill them if they touched it.
,,,,,,,,,,,,,It caught him off guard that space smelled of seared steak.,The light in his life was actually a fire burning all around him.
,,,,,,,,,,,,,The murder hornet was disappointed by the preconceived ideas people had of him.,Instead of a bachelorette party
,,,,,,,,,,,,,"If any cop asks you where you were, just say you were visiting Kansas.",I was starting to worry that my pet turtle could tell what I was thinking.
,,,,,,,,,,,,,It took me too long to realize that the ceiling hadn't been painted to look like the sky.,It was the first time he had ever seen someone cook dinner on an elephant.
,,,,,,,,,,,,,Bill ran from the giraffe toward the dolphin.,The guy was surprised that his immense laziness was inspirational to others.
,,,,,,,,,,,,,I'll have you know I've written over fifty novels.,