Data Length,Gender,Race,Color,Hair Color,Hair Length,Hair Style,Top,Bottom,Shoes,Accessory,,,,Gender(third person),Gender real,Accessory Action,Extra sentences F,Extra sentences B,,,
5000,male,White,red,black,short,straight,suit,skirt,shoes,hat,,,,He,male,is wearing a,The location is near the Royal Adelaide Hospital.,The person appears drug-affected.,,,
,female,Black,orange,white,long,wavy,shirt,trousers,sandals,belt,,,,She,female,has,There is a car crash.,The situation is very dangerous.,,,
,man,Asian,yellow,blond,middle,curly,dress,jeans,boots,handbag,,,,He,male,carries a,A large fight happens outside McDonald's Hindley Street.,"The address is at 49 Robbies Rd, Cockle Bay.",,,
,woman,Caucasian,green,gray,,kinky,blouse,shorts,slippers,glasses,,,,She,female,is wearing a pair of,There is an emergency.,The person has been stabbed in the stomach. ,,,
,,,blue,brown,,,tanktop,pants,sneakers,scarf,,,,,,is wear a,"The address is at 23 Allan Street, Blacktown.",The person has mental illness.,,,
,,,violet,,,,coat,,,sunglasses,,,,,,is wearing a pair of,"Someone is yelling 'I'm going to stab you', follows by crashing/banging.",Evacute the area now.,,,
,,,black,,,,jacket,,,gloves,,,,,,is wearing a pair of,"Warning, emergency, evacuate now.",The House's choice to use the Justice Department may be more of a warning shot than a solution.,,,
,,,white,,,,T-shirt,,,bracelet,,,,,,is wearing a,As severe as a criminal contempt referral sounds,The officers responded by firing several bullets into the apartment.,,,
,,,,,,,jumper,,,necklace,,,,,,is wearing a,The walker fired a warning shot as the officers breached the front door with a battering ram.,"After the site was blocked, the false alarms regarding police seemed like a warning shot leave or face arrest and charges of high treason.",,,
,,,,,,,,,,ring,,,,,,has a,At least two different calls had warned of a coming police raid at TV Rain.,"The criminal must be taken in the act, e.g.",,,
,,,,,,,,,,earrings,,,,,,is wearing,The full video shows at least one soldier firing a warning shot into the air.,"The senate, as supreme court of cassation, has two departments, one for civil and one for criminal cases.",,, 
,,,,,,,,,,,,,,,,,"Arthur, chief of the Brotherhood, a party, and called Rule 1 2, forbidding engineers to haul the freight, criminal.","The subject matter over which the ecclesiastical courts had jurisdiction was no longer purely "" criminal "" with a civil quasijurisdiction by way of arbitration.",,,
,,,,,,,,,,,,,,,,,Justice is administered from a written civil and criminal code.,It was probably the lex Valeria of 300 B.C. that made him subject to the right of criminal appeal (provocatio) within the limits of the city.,,,
,,,,,,,,,,,,,,,,,The penalty for false witness was usually that which would have been awarded the convicted criminal.,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,The person,genderqueer, ,,,,,